scenario,trial,cohort_size,possible_groups,successful_groups,success_rate,median_formation_days,p95_matching_latency_seconds,isolated_students,group_balance_index,mean_skill_variance,mean_schedule_score,satisfaction_score
ACN_Baseline,17,200,29,28,0.9655172413793104,0.2764982599443187,0.24807627897992843,60,0.6136755878502651,0.09725905337856403,0.7013637120968214,0.7787098468350033
ACN_Baseline,18,200,28,24,0.8571428571428571,0.550527500801625,0.247611000150088,80,0.653912937914349,0.09491872782139779,0.7037204905057948,0.8277263771471035
ACN_Baseline,19,200,29,23,0.7931034482758621,0.2776571981115036,0.2759205942319959,85,0.6535089757671197,0.09383762073107305,0.6679090253705344,0.7975551935885086
ACN_Baseline,20,200,29,29,1.0,0.6324447557505583,0.27712840822478446,55,0.6470784953884208,0.09962679670403077,0.730886709497812,0.8263135618613584
ACN_Baseline,21,200,29,26,0.896551724137931,0.5678279708029554,0.28350857607404234,70,0.6515274948583861,0.10398862568976706,0.6920280440241591,0.7916607864424706
ACN_Baseline,22,200,28,25,0.8928571428571429,0.2617341290263966,0.22870129407691533,75,0.6479504614749887,0.10714004481314383,0.7254727941209581,0.8337824154969304
ACN_Baseline,23,200,27,23,0.8518518518518519,0.2850433460351808,0.23217927257725413,85,0.6601020636463735,0.09543167004663106,0.7071007329297634,0.847221145659096
ACN_Baseline,24,200,29,24,0.8275862068965517,0.33731845170566377,0.2511138284889553,80,0.6403152925767356,0.08328862196934791,0.7061861286027106,0.7878103478873448
ACN_Baseline,25,200,26,20,0.7692307692307693,0.6397405201093851,0.23803684782683332,100,0.6484097336061807,0.08039734929185689,0.7116231515347682,0.8297614537154965
ACN_Baseline,26,200,29,24,0.8275862068965517,0.7472694109716606,0.23835724930286972,80,0.677374050017702,0.11209963438770296,0.7221467464297917,0.8835491809252288
ACN_Baseline,27,200,27,26,0.9629629629629629,0.4430463918318425,0.22995200107570984,70,0.6520680176072784,0.09215621483801577,0.703721472315212,0.8823066237177721
ACN_Baseline,28,200,27,25,0.9259259259259259,0.5676148224224546,0.22181675803108153,75,0.6132585820390086,0.09465552907307748,0.7156874894857878,0.7828551915238383
ACN_Baseline,29,200,26,24,0.9230769230769231,0.5247006292638976,0.2493960422823598,80,0.6294673004454788,0.09030555154108227,0.7023640898506993,0.7979790164245634
ACN_Baseline,30,200,29,25,0.8620689655172413,0.5871546006506099,0.2625557895894888,75,0.6859750781314093,0.09997459216504603,0.7172641248888396,0.8497463592481577
ACN_Baseline,31,200,30,27,0.9,0.37379930644162035,0.2588131209583726,65,0.6779402854773219,0.1071672873096681,0.7167696728418992,0.8327271580778388
ACN_Baseline,32,200,28,25,0.8928571428571429,0.306140676420845,0.24204276279960357,75,0.6716569626124392,0.11034971793427553,0.6968636178105384,0.9011158498546922
ACN_Baseline,33,200,29,25,0.8620689655172413,0.421166399800778,0.24649983339033393,75,0.674256554718018,0.09849579265147221,0.7044280571665545,0.8714088863861101
