scenario,week,adoption_rate,density,isolated_students,degree_gini,giant_component_share,mean_satisfaction,group_balance_index
ACN_With_B1,5,0.85,0.05964824120603015,6,0.24559814658803725,0.97,0.7326701923147689,0.7004615796593741
ACN_With_B1,6,0.855,0.06889447236180904,6,0.2362582056892779,0.97,0.7459419106315953,0.5929862277729182
ACN_With_B1,7,0.855,0.07814070351758794,6,0.2225273311897107,0.97,0.756622179870184,0.6112985933694083
ACN_With_B1,8,0.86,0.08603015075376884,6,0.21450350467289736,0.97,0.7667718575273426,0.6464703255355698
ACN_With_B1,9,0.87,0.09386934673366834,6,0.20809689507494666,0.97,0.7731424060122766,0.6379421339174509
ACN_With_B1,10,0.87,0.10206030150753768,5,0.20158050221565738,0.975,0.7782762450588074,0.611713051149987
ACN_With_B1,11,0.87,0.10909547738693468,5,0.19497696913864582,0.975,0.7810788002930685,0.6078352569711101
ACN_With_B1,12,0.87,0.11608040201005025,5,0.19341125541125548,0.975,0.7871392347217986,0.6639811994584197
ACN_Low_Adoption_20,1,0.19,0.012462311557788945,16,0.344092741935484,0.89,0.5573714585643262,0.8354698551232916
ACN_Low_Adoption_20,2,0.2,0.013165829145728643,15,0.35064885496183207,0.915,0.5634831248166582,0.8163486682877386
ACN_Low_Adoption_20,3,0.22,0.013969849246231156,14,0.35798561151079156,0.92,0.5693580750416201,0.745063736904868
ACN_Low_Adoption_20,4,0.24,0.01507537688442211,13,0.3793000000000002,0.925,0.5751848625314475,0.6986335805436462
ACN_Low_Adoption_20,5,0.265,0.016331658291457288,13,0.39713846153846166,0.925,0.5820339368169215,0.6956709020953297
ACN_Low_Adoption_20,6,0.29,0.017487437185929648,12,0.4119540229885059,0.93,0.5861466631304681,0.6623603413053617
ACN_Low_Adoption_20,7,0.325,0.018844221105527637,11,0.4234,0.935,0.5932458277240912,0.674259045719959
ACN_Low_Adoption_20,8,0.34,0.019748743718592966,11,0.430470737913486,0.935,0.5988906908751898,0.6054810616191956
ACN_Low_Adoption_20,9,0.365,0.020904522613065326,11,0.43917067307692315,0.935,0.6044826382311101,0.6958801658349891
ACN_Low_Adoption_20,10,0.365,0.022763819095477388,11,0.45113686534216346,0.935,0.6116047252117722,0.7068618008601085
ACN_Low_Adoption_20,11,0.37,0.024271356783919597,11,0.4625983436853003,0.935,0.6157690016882158,0.6717934108641747
ACN_Low_Adoption_20,12,0.37,0.025829145728643216,11,0.4736673151750974,0.935,0.6218496745684439,0.6348275252514898
