scenario,trial,cohort_size,success_rate,median_formation_days,p95_matching_latency_seconds,isolated_students,group_balance_index,schedule_score,satisfaction_score
ACN_Baseline,2,200,1.0,0.34768829077890934,0.22807718121834913,65,0.6423455037436421,0.7733294621340003,0.848105035790926
ACN_Baseline,3,200,1.0,0.4397786210948648,0.2303430820054931,70,0.6984263849619773,0.7515155601048602,0.875123810814725
ACN_Baseline,4,200,1.0,0.5740856048637712,0.2478120635776671,60,0.6381861468239328,0.8000071376125906,0.843676967942591
ACN_Baseline,5,200,0.9655172413793104,0.5999010425526409,0.2316147326937947,60,0.6478681336342748,0.7699053392677316,0.9090146694392401
ACN_Baseline,6,200,0.9629629629629629,0.388471143021589,0.24835227521228673,70,0.588374005823204,0.7650095413523821,0.8558469625351006
ACN_Baseline,7,200,0.9642857142857143,0.5136012264265385,0.23898819432045465,65,0.6288301070523986,0.7273484313345258,0.8481748691388864
ACN_Baseline,8,200,0.9655172413793104,0.49694625361518197,0.23068295046303397,60,0.6284264356201452,0.7680303829320596,0.8211787247146755
ACN_Baseline,9,200,0.9655172413793104,0.41553625178011944,0.24271729696049862,60,0.6368040651456235,0.7853299935825501,0.9369802833141485
ACN_Baseline,10,200,1.0,0.4949823685766387,0.23348901294896854,65,0.6858328754275888,0.7979096331917305,0.8575712691786896
ACN_Baseline,11,200,0.9666666666666667,0.4320067325091235,0.23985765068629894,55,0.641967470091988,0.7505111876570645,0.8582847617261724
ACN_Baseline,12,200,1.0,0.40879527824740275,0.23288433873346126,60,0.6533147409465642,0.7587800543212476,0.9272300371581189
ACN_Baseline,13,200,0.9615384615384616,0.6523974743961377,0.2502804850534154,75,0.695108637388953,0.7949395731590699,0.8952000420891234
ACN_Baseline,14,200,0.9310344827586207,0.278501353166363,0.21771934080130786,65,0.6495479626253892,0.7721675518409207,0.849634868385798
ACN_Baseline,15,200,0.96,0.47326076101298575,0.25288886932996507,80,0.6880410179580765,0.7722505626059835,0.9101749049553886
ACN_Baseline,16,200,0.9655172413793104,0.4874172655801709,0.25130022288635556,60,0.6031940694537257,0.7616753684080834,0.8259895586913701
ACN_Baseline,17,200,1.0,0.3773383506974385,0.23650533273499957,60,0.6504484224966418,0.7703540624620256,0.8559207206440194
ACN_Baseline,18,200,1.0,0.4243396900922125,0.2526418175341998,50,0.641601372054833,0.7695726915037628,0.8564902292500385
ACN_Baseline,19,200,0.9310344827586207,0.36422202542101023,0.2630376099945383,65,0.6429681814520392,0.7717712215662517,0.9048390072488722
ACN_Baseline,20,200,0.9655172413793104,0.4924320280609149,0.21617725128069096,60,0.6157868558516829,0.7789434836268573,0.8213805635784263
ACN_Baseline,21,200,1.0,0.2686002894153416,0.2601341661769599,60,0.6648357387156875,0.7946847591190068,0.9223574107971648
ACN_Baseline,22,200,0.9285714285714286,0.479503197481991,0.26851630619766254,70,0.6410842287643705,0.7984612322715406,0.8549030686161311
ACN_Baseline,23,200,0.9354838709677419,0.5248940397754447,0.24664017983998668,55,0.5962034823311775,0.7662906324110487,0.878403227243002
ACN_Baseline,24,200,0.9310344827586207,0.4870862092491893,0.2864263866246572,65,0.6423344061778411,0.785015435905341,0.8509665172037272
ACN_Baseline,25,200,0.9666666666666667,0.3131426721799229,0.2483297128542788,55,0.6704051386600512,0.7790059178138252,0.8324554843480444
ACN_Baseline,26,200,0.9333333333333333,0.3015908377229809,0.23826625766633475,60,0.6668477581227273,0.7378250658119024,0.9100596709581416
ACN_Baseline,27,200,0.9259259259259259,0.706491097009135,0.2409579673850329,75,0.6537163492861241,0.7750828179068081,0.860681884766107
ACN_Baseline,28,200,0.9354838709677419,0.5941586662981149,0.23268447685201338,55,0.6364591751434489,0.7813010131957596,0.9260798290271992
ACN_Baseline,29,200,0.9310344827586207,0.347781651770248,0.2487165097403048,65,0.6508222096135435,0.7980928305540654,0.8693448165389069
ACN_Baseline,30,200,1.0,0.5339388074823029,0.23219567311906758,50,0.6078507018890963,0.7328068160744956,0.8875048498065662
ACN_Baseline,31,200,1.0,0.4742112102213271,0.21791471263818282,55,0.6476117362924836,0.7685045621332249,0.8431545279030199
ACN_Baseline,32,200,0.9259259259259259,0.5170508633267358,0.26116291955427806,75,0.6314503412729904,0.7738135622258001,0.8928428994847404
ACN_Baseline,33,200,0.9629629629629629,0.6699892966708783,0.24462978131337787,70,0.6050661783220893,0.7905972941991126,0.8118355153318899
ACN_Baseline,34,200,0.9333333333333333,0.4823707409923077,0.2478736224530794,60,0.6487223533247666,0.7641936232983356,0.9141869523886831
ACN_Baseline,35,200,0.9310344827586207,0.6859372190840217,0.2502960562565894,65,0.6696839477112205,0.7781988799747709,0.8682690498839456
ACN_Baseline,36,200,0.9666666666666667,0.600878428988015,0.24877201791239673,55,0.6821078845430747,0.7674930099305146,0.9107762959270314
ACN_Baseline,37,200,1.0,0.34577838237971764,0.2449077866507865,65,0.5751929257033755,0.7511708828027087,0.8156515672194995
ACN_Baseline,38,200,1.0,0.4277532277116484,0.2269791134114481,60,0.687470977971248,0.7638516334418958,0.8095121274262629
ACN_Baseline,39,200,0.8709677419354839,0.6157753289844649,0.2645710841935335,65,0.6058367507051328,0.7672567394022057,0.9035972246433942
ACN_Baseline,40,200,0.9655172413793104,0.6063015564035161,0.22826606189581025,60,0.6496975677654171,0.7911254116480081,0.8268389373031457
ACN_Baseline,41,200,1.0,0.8144877353628482,0.26558375143498286,55,0.6105252362550724,0.7769702765154903,0.779093236072542
ACN_Baseline,42,200,0.9310344827586207,0.33370996010542386,0.23226201997404639,65,0.7038063399938381,0.7415019485742104,0.7741000759496888
ACN_Baseline,43,200,0.9354838709677419,0.7210616651499667,0.26236212570882284,55,0.6547513417116372,0.7998615146174897,0.8737438255346153
ACN_Baseline,44,200,0.967741935483871,0.396007877856005,0.22704868074271795,50,0.6392214857786668,0.7759659930490095,0.8408038436498647
ACN_Baseline,45,200,0.9310344827586207,0.5906149308444453,0.2582834120596046,65,0.6205198900700258,0.7740140564206993,0.9197080665324172
ACN_Baseline,46,200,0.9642857142857143,0.4965986256035349,0.24879696940459495,65,0.6082085809449389,0.7571084781438818,0.8540144525430701
ACN_Baseline,47,200,0.8461538461538461,0.49656178810326884,0.23158514576900832,90,0.6326459710617024,0.7768915108934011,0.8733816875567751
ACN_Baseline,48,200,1.0,0.31401988662411284,0.24006165761941523,55,0.6286238134194913,0.7830204466746196,0.8539740013745205
ACN_Baseline,49,200,1.0,0.47477405503072223,0.23435146067350782,60,0.6227052234342587,0.7749657281093122,0.8869694135330469
ACN_Baseline,50,200,0.9655172413793104,0.9500666343843771,0.23400809467215986,60,0.6862592223254356,0.7827372654818616,0.8896235476740143
ACN_Baseline,51,200,0.9310344827586207,0.4649677218189833,0.2294158382741021,65,0.6793600585950239,0.7576321048504301,0.9157498610443382
ACN_Baseline,52,200,1.0,0.6482460753481034,0.2319505107730937,55,0.6184091025264108,0.7788955376200669,0.8742988956950919
ACN_Baseline,53,200,0.9655172413793104,0.336580943039586,0.24256756685546144,60,0.5897908027551763,0.7811502190049988,0.8485336512061191
ACN_Baseline,54,200,0.9333333333333333,0.39426876127332755,0.25014242115525326,60,0.6148846707710507,0.7868372205435962,0.8026010574988516
ACN_Baseline,55,200,0.967741935483871,0.43250950042268377,0.22399452054077823,50,0.6262672802978339,0.7612775735312893,0.8214857278894278
ACN_Baseline,56,200,1.0,0.47310032424496173,0.2354199245551622,45,0.6323033980779399,0.7780936288954629,0.8668827617403901
ACN_Baseline,57,200,0.9,0.29054314911415113,0.2547928526668598,65,0.6221470057251686,0.7718051269796008,0.833328118134517
ACN_Baseline,58,200,1.0,0.36415772867270624,0.2291379196135566,55,0.6335630647189541,0.7710771625837513,0.8400866302404194
ACN_Baseline,59,200,0.9655172413793104,0.40413059331196144,0.22402955100534105,60,0.6829244066266077,0.7955641011744194,0.8178302158708252
ACN_Baseline,60,200,0.9696969696969697,0.28750927668855936,0.25395218385159196,40,0.6358265208842067,0.7634733869824898,0.8515642089058981
ACN_Baseline,61,200,0.9285714285714286,0.29256670762951764,0.2267266189349763,70,0.6089168163322662,0.7667764571733927,0.8011960466513779
ACN_Baseline,62,200,0.9285714285714286,0.4961926089547647,0.22462040670431296,70,0.634179107884438,0.7702341967122592,0.8636535864746343
ACN_Baseline,63,200,1.0,0.5070088713699099,0.23109903478556276,50,0.6494357174527856,0.7565442622261782,0.8770540745943146
ACN_Baseline,64,200,0.9655172413793104,0.4077259299970146,0.24818284037180527,60,0.6054252856707707,0.7825326540847125,0.8429060827358021
ACN_Baseline,65,200,0.9642857142857143,0.38906509076385176,0.26020235081767507,65,0.6406010709050725,0.7994246158563394,0.9208899040209252
ACN_Baseline,66,200,0.967741935483871,0.6631772120485878,0.2791651518907723,50,0.6635804706420245,0.7596672753929793,0.8880117998958363
ACN_Baseline,67,200,0.9354838709677419,0.7584424597483206,0.23691290280671568,55,0.6397754975145287,0.8026029888175514,0.8773616419569643
ACN_Baseline,68,200,1.0,0.5298453004198354,0.23373191658467465,60,0.6096487116205233,0.7875325546036945,0.8907411008358049
ACN_Baseline,69,200,0.9655172413793104,0.5152042154034688,0.22182167531825142,60,0.6599641358772967,0.7691328656133265,0.8351074858854696
ACN_Baseline,70,200,1.0,0.4320095859827692,0.22044295225476324,60,0.5958827640166814,0.7808378822734231,0.881635530496688
ACN_Baseline,71,200,0.9655172413793104,0.4405980528242563,0.2202420639161784,60,0.6317020098838295,0.762376518192282,0.7886107108613017
ACN_Baseline,72,200,1.0,0.3094923572235108,0.23809994884340674,65,0.6421174677056584,0.7601813538182375,0.8572016283169002
ACN_Baseline,73,200,0.9310344827586207,0.569046424114396,0.24182476184543986,65,0.6062114823986707,0.7668609139532109,0.8468401977930484
