scenario,week,adoption_rate,density,isolated_students,degree_gini,giant_component_share,mean_satisfaction,group_balance_index
ACN_With_B1,5,0.85,0.059547738693467335,6,0.24891139240506344,0.97,0.7311129624042474,0.6762747207766043
ACN_With_B1,6,0.855,0.06849246231155778,6,0.23206162876008807,0.97,0.7451644008418691,0.6042171548947785
ACN_With_B1,7,0.855,0.07688442211055277,6,0.21797058823529425,0.97,0.7567432565666963,0.6373521479879629
ACN_With_B1,8,0.86,0.0850251256281407,6,0.21019208037825066,0.97,0.7663576938733476,0.6387478507788245
ACN_With_B1,9,0.87,0.09296482412060302,6,0.20544594594594612,0.97,0.7726702319850891,0.6353064790170604
ACN_With_B1,10,0.87,0.10155778894472361,5,0.19985898070262254,0.975,0.7791921745356132,0.6305954835317253
ACN_With_B1,11,0.87,0.10894472361809045,5,0.19325184501845039,0.975,0.7815678776601601,0.6151619214469409
ACN_With_B1,12,0.87,0.11608040201005025,5,0.19293722943722957,0.975,0.7864660401783548,0.6559258523966235
ACN_Low_Adoption_20,1,0.19,0.012462311557788945,16,0.344092741935484,0.89,0.5573714585643262,0.8354698551232916
ACN_Low_Adoption_20,2,0.2,0.013115577889447236,15,0.3481992337164752,0.915,0.5634831248166582,0.8163486682877386
ACN_Low_Adoption_20,3,0.22,0.01391959798994975,14,0.35581227436823126,0.92,0.5693580750416201,0.745063736904868
ACN_Low_Adoption_20,4,0.24,0.015025125628140703,13,0.3773913043478261,0.925,0.5751848625314475,0.6986335805436462
ACN_Low_Adoption_20,5,0.265,0.016331658291457288,13,0.39587692307692324,0.925,0.5820339368169215,0.6956709020953297
ACN_Low_Adoption_20,6,0.29,0.017487437185929648,12,0.4115517241379312,0.93,0.5861466631304681,0.6623603413053617
ACN_Low_Adoption_20,7,0.325,0.018894472361809043,11,0.42378989361702146,0.935,0.5932458277240912,0.674259045719959
ACN_Low_Adoption_20,8,0.34,0.019798994974874373,11,0.4307487309644671,0.935,0.5988906908751898,0.6054810616191956
ACN_Low_Adoption_20,9,0.365,0.02085427135678392,11,0.43807228915662666,0.935,0.6044826382311101,0.6958801658349891
ACN_Low_Adoption_20,10,0.365,0.02271356783919598,11,0.45013274336283193,0.935,0.6116047252117722,0.7068618008601085
ACN_Low_Adoption_20,11,0.37,0.02422110552763819,11,0.4620020746887967,0.935,0.6157690016882158,0.6717934108641747
ACN_Low_Adoption_20,12,0.37,0.02577889447236181,11,0.4732358674463939,0.935,0.6218496745684439,0.6348275252514898
